,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SAR,Signal,ema9,ema21,ema200
2023-01-31,GRSE,EQ,481.1,494.9,505.0,487.15,503.5,502.2,499.49,774968,38708728485000.0,19604,214943,0.2774,468.9091381900152,Buy,490.08799999999997,486.4636363636363,405.75896254023996
2023-01-31,GILLANDERS,EQ,74.35,73.8,79.9,73.55,79.6,79.4,77.92,39431,307233160000.0,700,23920,0.6066,72.25,Buy,78.184,76.47272727272728,70.38654338601113
2023-01-31,HAL,EQ,2471.4,2483.7,2570.8,2470.0,2561.5,2552.85,2546.1,1200575,305678085135000.0,63085,482669,0.402,2418.1,Buy,2514.7380000000003,2487.2106060606066,2417.1229148375774
2023-01-31,INDIANB,EQ,296.85,297.0,305.95,291.35,305.25,304.75,299.36,4686789,140305336484999.98,42019,2827204,0.6032000000000001,277.5,Buy,292.854,289.83787878787876,234.45828760608723
2023-01-31,KPITTECH,EQ,709.3,709.3,772.35,701.7,758.35,762.9,748.47,4110246,307638931770000.0,102384,1680530,0.40890000000000004,684.073477807336,Buy,714.788,706.7545454545453,644.5592076382792
2023-01-31,KIRLFER,EQ,364.7,369.0,380.6,360.0,377.0,378.6,374.32,376908,14108252990000.0,12936,176089,0.4672,339.746324352,Buy,363.864,356.7060606060606,286.21125073163597
2023-01-31,MAGADSUGAR,EQ,310.1,313.95,330.3,309.0,328.8,324.3,320.71,13603,436259015000.00006,732,6085,0.4473,290.4171900289832,Buy,318.70000000000005,316.46969696969705,308.229163008487
2023-01-31,MGL,EQ,849.45,853.9,887.9,850.0,879.45,883.95,874.73,298571,26116820750000.0,20285,108506,0.36340000000000006,844.35,Buy,868.51,864.5893939393941,850.523809262511
2023-01-31,GNA,EQ,731.45,731.95,776.9,727.85,772.0,771.4,764.13,371260,28369184489999.996,14642,94970,0.25579999999999997,690.6,Buy,729.0319999999999,724.4242424242425,668.9749853672813
2023-01-31,MAHINDCIE,EQ,385.0,385.0,400.0,371.05,394.0,394.75,386.67,1487083,57501144820000.01,32793,417292,0.2806,347.155,Buy,372.35,369.17424242424244,298.9899857330992
2023-01-31,IGARASHI,EQ,401.6,401.6,442.35,399.05,426.55,426.55,422.18,58125,2453904130000.0,2840,26821,0.46140000000000003,396.0,Buy,410.35800000000006,407.51969696969707,399.5256456687153
2023-01-31,MPSLTD,EQ,967.3,974.7,999.9,965.05,989.0,989.2,987.13,38363,3786945454999.9995,6207,19014,0.49560000000000004,880.8262000000001,Buy,937.248,932.512121212121,786.6583882060288
2023-01-31,M&M,EQ,1331.6,1350.3,1385.5,1335.3,1377.0,1378.75,1365.83,5265862,719227448285000.0,204323,3663358,0.6957,1286.65,Buy,1334.254,1325.0045454545455,1268.116308165057
2023-01-31,POLYCAB,EQ,2819.2,2847.0,2934.65,2835.15,2930.0,2921.25,2890.09,545851,157756052055000.0,65396,259166,0.4748,2737.7,Buy,2829.3700000000003,2757.243939393939,2579.445515071701
2023-01-31,MTARTECH,EQ,1637.55,1640.4,1749.0,1625.0,1740.0,1737.55,1703.69,228373,38907681180000.0,20466,107384,0.47020000000000006,1617.2,Buy,1680.086,1670.55,1575.9389376646182
2023-01-31,RAYMOND,EQ,1488.15,1490.15,1551.85,1478.0,1535.05,1525.6,1508.27,336623,50771979285000.0,20066,110952,0.3296,1425.6139658931684,Buy,1506.864,1489.339393939394,1213.9021272314897
2023-01-31,RITES,EQ,346.95,347.8,365.0,345.8,360.0,361.45,356.1,716218,25504773085000.0,18591,313540,0.4378,321.0,Buy,346.47400000000005,338.5409090909091,329.0131310359965
2023-01-31,ROTO,EQ,550.2,548.2,593.45,545.95,587.5,583.6,575.09,103112,5929870965000.0,4417,73080,0.7087000000000001,502.0,Buy,543.04,523.5545454545455,454.97724978050917
2023-01-31,TEGA,EQ,570.75,578.0,625.4,570.0,620.0,613.3,600.31,143227,8598048684999.999,4471,75388,0.5264,559.0,Buy,586.692,578.7878787878786,550.8617116622769
2023-01-31,SURYAROSNI,EQ,603.6,603.4,649.0,603.0,641.2,644.65,636.12,726634,46222903665000.0,21986,275675,0.37939999999999996,590.0,Buy,616.874,598.2257575757576,470.2920471173544
