,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SAR,Signal,ema9,ema21,ema200
2023-01-12,CLSEL,EQ,132.5,132.55,138.45,132.0,135.45,134.5,135.61,291026,3946697265000.0,4581,115907,0.3983,121.71026256131898,Buy,132.405,129.32670454545453,112.17473944147876
2023-01-12,BDL,EQ,927.1,931.0,945.7,925.05,944.1,939.65,934.57,369188,34503104514999.996,21634,135667,0.3675,898.6570465184784,Buy,936.6300000000001,917.1528409090909,869.3246704434033
2023-01-12,ACE,EQ,309.8,311.6,319.0,309.0,315.8,316.0,314.69,709270,22319754195000.0,24606,154272,0.2175,289.37861842023483,Buy,313.735,304.04545454545456,280.1016632167629
2023-01-12,PARADEEP,EQ,60.0,59.7,61.4,59.7,60.9,60.9,60.32,3191378,19249566615000.0,9244,1718910,0.5386,54.834236731648005,Buy,59.800000000000004,58.72954545454546,56.12680393652177
2023-01-12,IIFLWAM,EQ,1758.35,1887.0,1907.0,1777.05,1800.0,1799.5,1807.53,298188,53898372304999.99,20326,89444,0.3,1726.6,Buy,1782.9150000000002,1773.3011363636363,1729.6747539673893
2023-01-12,BIGBLOC,EQ,136.25,137.75,139.7,136.1,138.0,138.8,137.72,14767,203376800000.0,587,9060,0.6135,131.75,Buy,137.78500000000003,136.05284090909092,131.86908274718363
2023-01-12,DALBHARAT,EQ,1868.2,1875.0,1915.2,1874.0,1891.25,1897.5,1901.38,423645,80551097845000.0,35124,145415,0.3432,1823.166521925851,Buy,1877.9950000000001,1860.7556818181818,1639.7911337473217
2023-01-12,DCW,EQ,49.7,49.9,52.5,49.75,50.9,51.0,51.58,2056958,10610789550000.0,7397,663618,0.3226,47.5,Buy,49.97500000000001,49.20454545454545,48.89487961651596
2023-01-12,PRICOLLTD,EQ,193.0,193.7,196.5,190.75,194.4,195.35,192.78,836401,16124015569999.998,6808,406416,0.48590000000000005,175.22400000000002,Buy,192.015,191.15681818181815,173.57288012492285
2023-01-12,ELECON,EQ,375.6,377.5,388.0,375.25,384.45,384.8,382.94,374823,14353537840000.0,10210,129786,0.34630000000000005,348.8966294804722,Buy,372.18999999999994,371.5840909090909,368.9143988088753
2023-01-12,PENIND,EQ,57.2,57.85,60.3,56.7,60.3,59.8,58.99,807828,4765452915000.0,6651,422189,0.5226,52.557073540380834,Buy,57.655,56.85113636363637,50.209525365871364
2023-01-12,MUKANDLTD,EQ,126.2,126.75,135.0,125.35,132.8,131.25,129.49,514423,6661195920000.0,4837,238575,0.46380000000000005,122.35,Buy,129.685,127.57386363636364,110.92904818970838
2023-01-12,LT,EQ,2125.35,2118.1,2164.65,2118.1,2160.5,2159.75,2152.89,2726901,587071211990000.0,153582,1721376,0.6313000000000001,2055.26656,Buy,2109.605,2107.0511363636365,1925.643341685732
2023-01-12,RAMKY,EQ,303.3,304.0,308.0,298.0,308.0,304.85,303.1,43850,1329110395000.0,2200,24402,0.5565,257.43050406793185,Buy,303.96500000000003,292.55170454545447,227.4053455350982
2023-01-12,SATINDLTD,EQ,69.8,69.95,76.75,69.95,74.9,74.5,73.86,1803518,13320254765000.0,6469,519070,0.2878,61.46782301001589,Buy,69.155,67.82102272727272,67.43156585493585
2023-01-12,STARCEMENT,EQ,114.3,115.0,117.55,114.5,117.05,117.25,116.55,278492,3245896965000.0,4400,135416,0.48619999999999997,105.1454385620339,Buy,114.845,112.8721590909091,101.37523876965537
2023-01-12,WEBELSOLAR,EQ,96.35,97.5,101.15,96.1,101.15,101.15,99.55,136519,1359016980000.0,1439,84943,0.6222,89.10997501376,Buy,97.80000000000001,96.18409090909091,94.600134364673
2023-01-12,ULTRACEMCO,EQ,7021.95,7024.95,7166.95,7024.95,7155.0,7153.35,7111.38,566492,402853736590000.0,69775,298734,0.5273,6860.0,Buy,7028.99,7015.75625,6579.590153248358
2023-01-12,SUNPHARMA,EQ,1028.0,1031.95,1035.45,1021.15,1031.55,1032.85,1028.36,1641398,168794743165000.0,87399,1021088,0.6221,989.4773546553498,Buy,1015.75,1009.0517045454545,946.4920071176962
2023-01-12,UMANGDAIRY,EQ,62.2,62.7,63.4,61.25,63.4,62.95,62.46,7077,44200140000.0,204,4073,0.5755,57.4734308,Buy,62.065000000000005,61.637499999999996,59.905055016886365
